User Name,Rumi,kusa,Neptune,HooKnows,Honobruh,Dyrea,Wumbo,Coolguy,Trios
,11. QUESTION99 - Liella!,11. ティーンエイジ・ロンリネス - 唐 可可、平安名すみれ、桜小路きな子、鬼塚冬毬,11. 未来は風のように - Liella!,11. ディストーション - CatChu!,11. Just woo!! - 平安名すみれ,11. TO BE CONTINUED - Liella!,11. カメリアの囁き - KALEIDOSCORE,11. ディストーション - CatChu!,11. カメリアの囁き - KALEIDOSCORE
,12. Special Color - Liella!,12. 常夏☆サンシャイン - 澁谷かのん、唐 可可、嵐 千砂都、平安名すみれ,12. Starlight Prologue - Liella!,12. 未来は風のように - Liella!,12. Starlight Prologue - Liella!,12. FANTASTiC - Liella!,12. 不可視なブルー - KALEIDOSCORE,12. Dazzling Game - Liella!、澁谷かのん、ウィーン・マルガレーテ、鬼塚冬毬,12. Dream Rainbow - Liella!
,13. High！モチベーション - 桜小路きな子、米女メイ、若菜四季、鬼塚夏美、ウィーン・マルガレーテ、鬼塚冬毬,13. High！モチベーション - 桜小路きな子、米女メイ、若菜四季、鬼塚夏美、ウィーン・マルガレーテ、鬼塚冬毬,13. オレンジのままで - Liella!,13. Special Color - Liella!,13. 結ぶメロディ - Liella!,13. GOING UP - Liella!,13. Aspire - Liella!,13. ノンフィクション!! - Liella!,13. 揺らぐわ - Liella!
,14. Starlight Prologue - Liella!,14. Shooting Voice!! - Liella!,14. ニュートラル - KALEIDOSCORE,14. ニュートラル - KALEIDOSCORE,14. 未来は風のように - Liella!,14. 未来は風のように - Liella!,14. 真っ赤。 - Liella!,14. スター宣言 - Liella!,14. Dancing Heart La-Pa-Pa-Pa! - Liella!
,15. ティーンエイジ・ロンリネス - 唐 可可、平安名すみれ、桜小路きな子、鬼塚冬毬,"15. Chance Day, Chance Way！ - Liella!",15. ワイルドカード - 鬼塚冬毬,15. Let's be ONE - Liella!,15. 青空を待ってる - 澁谷かのん,15. Dazzling Game - Liella!、澁谷かのん、ウィーン・マルガレーテ、鬼塚冬毬,15. Just woo!! - 平安名すみれ,15. OPEN THE G☆TE!!! - Liella!,15. Second Sparkle - Liella!
,16. 全力ライオット - CatChu!,16. 追いかける夢の先で - Liella!,16. Jellyfish - 5yncri5e!,16. LiLiA - 若菜四季,16. 水色のSunday - 唐 可可,16. ビタミンSUMMER！ - Liella!,16. ベロア - KALEIDOSCORE,16. Special Color - Liella!,16. 罪DA・YO・NE - 米女メイ、若菜四季
,17. 罪DA・YO・NE - 米女メイ、若菜四季,17. Jellyfish - 5yncri5e!,17. Sky Linker - 米女メイ,17. ノンフィクション!! - Liella!,17. 星屑クルージング - 唐 可可,17. Second Sparkle - Liella!,17. ノンフィクション!! - Liella!,17. UNIVERSE!! - Liella!,17. 未来予報ハレルヤ！ - Liella!
,18. ファンダメンタル - 唐 可可,18. Dream Rainbow - Liella!,18. Aspire - Liella!,18. QUESTION99 - Liella!,18. ビタミンSUMMER！ - Liella!,18. Wish Song - Liella!,18. Dazzling Game - Liella!、澁谷かのん、ウィーン・マルガレーテ、鬼塚冬毬,18. キラーキューン☆ - Liella!,18. キラーキューン☆ - Liella!
,19. 影遊び - CatChu!,19. だから僕らは鳴らすんだ！ - Liella!,19. パステルコラージュ - 鬼塚夏美,19. だから僕らは鳴らすんだ！ - Liella!,19. Oh！レディ・ステディ・ポジティブ - 唐 可可,"19. Chance Day, Chance Way！ - Liella!",19. 始まりは君の空 - Liella!,19. 未来予報ハレルヤ！ - Liella!,19. ティーンエイジ・ロンリネス - 唐 可可、平安名すみれ、桜小路きな子、鬼塚冬毬
,20. 君・街・空・星 - Liella!,20. Dancing Heart La-Pa-Pa-Pa! - Liella!,20. 真っ赤。 - Liella!,20. Tiny Stars - 澁谷かのん、唐 可可,20. LiLiA - 若菜四季,20. キラーキューン☆ - Liella!,20. 私のSymphony - Liella!,20. シェキラ☆☆☆ - Liella!,20. 心キラララ - 澁谷かのん
,21. 茜心 - 米女メイ,21. ファンダメンタル - 唐 可可,21. Let's be ONE - Liella!,21. 揺らぐわ - Liella!,21. Dancing Raspberry - 5yncri5e!,21. 真っ赤。 - Liella!,21. Special Color - Liella!,21. Bubble Rise - 澁谷かのん、ウィーン・マルガレーテ、鬼塚冬毬,21. ビタミンSUMMER！ - Liella!
,22. キラーキューン☆ - Liella!,22. OPEN THE G☆TE!!! - Liella!,22. LiLiA - 若菜四季,22. What a Wonderful Dream!! - Liella!,22. QUESTION99 - Liella!,22. Jellyfish - 5yncri5e!,22. 探して！Future - Liella!,22. Dreaming Energy - Liella!,22. Dancing Raspberry - 5yncri5e!
,23. LiLiA - 若菜四季,23. 迷宮讃歌 - 葉月 恋,23. 絶対的LOVER - Liella!、澁谷かのん、ウィーン・マルガレーテ、鬼塚冬毬,23. いつものピースサイン - Liella!,23. ニュートラル - KALEIDOSCORE,23. Starlight Prologue - Liella!,23. 結び葉 - 葉月 恋,23. Jellyfish - 5yncri5e!,23. Starlight Prologue - Liella!
,24. HAPPY TO DO WA！ - 唐 可可、平安名すみれ、葉月 恋,24. ビタミンSUMMER！ - Liella!,24. いつものピースサイン - Liella!,24. アイコトバ！ - Liella!,24. ファンダメンタル - 唐 可可,24. スーパースター!! - Liella!,24. 絶対的LOVER - Liella!、澁谷かのん、ウィーン・マルガレーテ、鬼塚冬毬,24. 真っ赤。 - Liella!,24. クレッシェンドゆ・ら - 唐 可可、葉月 恋
,25. 未来は風のように - Liella!,25. 瞬きの先へ - Liella!,25. アイコトバ！ - Liella!,25. 始まりは君の空 - Liella!,25. 常夏☆サンシャイン - 澁谷かのん、唐 可可、嵐 千砂都、平安名すみれ,25. アイコトバ！ - Liella!,25. スーパースター!! - Liella!,25. 常夏☆サンシャイン - 澁谷かのん、唐 可可、嵐 千砂都、平安名すみれ,25. Dazzling Game - Liella!、澁谷かのん、ウィーン・マルガレーテ、鬼塚冬毬
,26. POP TALKING - Liella!,26. Dazzling Game - Liella!、澁谷かのん、ウィーン・マルガレーテ、鬼塚冬毬,26. キラーキューン☆ - Liella!,26. START!! True dreams - Liella!,26. Summer Escape!! - 桜小路きな子、米女メイ、若菜四季、鬼塚夏美,26. 未来予報ハレルヤ！ - Liella!,26. 色づいて透明 - Liella!,26. Welcome to 僕らのセカイ - Liella!,26. ミッドナイトラプソディ - 葉月 恋
,27. Second Sparkle - Liella!,27. Thank you Good morning - 5yncri5e!,27. 瞬きの先へ - Liella!,27. Butterfly Wing - ウィーン・マルガレーテ,27. 茜心 - 米女メイ,27. Sing！Shine！Smile！ - Liella!,27. いつものピースサイン - Liella!,27. Starlight Prologue - Liella!,27. 影遊び - CatChu!
,28. みてろ！ - 平安名すみれ,28. 私のSymphony - Liella!,28. 君・街・空・星 - Liella!,28. ほんのちょっぴり - 澁谷かのん,28. 結び葉 - 葉月 恋,28. この街でいまキミと - Liella!,28. Starlight Prologue - Liella!,28. Sing！Shine！Smile！ - Liella!,28. Dreamer Coaster - 澁谷かのん
,29. クレッシェンドゆ・ら - 唐 可可、葉月 恋,29. A Little Love - 5yncri5e!,29. Special Color - Liella!,29. Second Sparkle - Liella!,29. Jellyfish - 5yncri5e!,29. Dancing Raspberry - 5yncri5e!,29. Tiny Stars - 澁谷かのん、唐 可可,29. バイバイしちゃえば！？ - Liella!,29. バイバイしちゃえば！？ - Liella!
,30. スーパースター!! - Liella!,30. 未来は風のように - Liella!,30. 名前呼びあうように - Liella!,30. Jellyfish - 5yncri5e!,30. ガラスボールリジェクション - 若菜四季,30. オルタネイト - CatChu!,30. Stella! - 澁谷かのん、嵐 千砂都、平安名すみれ,30. Dancing Heart La-Pa-Pa-Pa! - Liella!,30. 想われマリオネット - 澁谷かのん、嵐 千砂都、葉月 恋、鬼塚夏美、ウィーン・マルガレーテ
,"31. Chance Day, Chance Way！ - Liella!",31. Butterfly Wing - ウィーン・マルガレーテ,31. 水しぶきのサイン - Liella!,31. 真っ赤。 - Liella!,31. Eyeをちょうだい - 鬼塚夏美,31. いつものピースサイン - Liella!,31. だから僕らは鳴らすんだ！ - Liella!,31. 青春HOPPERS - Liella!,31. 探して！Future - Liella!
,32. オルタネイト - CatChu!,32. 未来の音が聴こえる - Liella!,32. オルタネイト - CatChu!,32. オルタネイト - CatChu!,32. 青春HOPPERS - Liella!,32. LiLiA - 若菜四季,32. オルタネイト - CatChu!,"32. Chance Day, Chance Way！ - Liella!",32. Primary - Liella!
,33. 始まりは君の空 - Liella!,33. START!! True dreams - Liella!,33. ビタミンSUMMER！ - Liella!,33. 不可視なブルー - KALEIDOSCORE,33. Day1 - Liella!,33. 不可視なブルー - KALEIDOSCORE,33. MIRACLE NEW STORY - Liella!,33. 始まりは君の空 - Liella!,33. 絶対的LOVER - Liella!、澁谷かのん、ウィーン・マルガレーテ、鬼塚冬毬
,34. 未来予報ハレルヤ！ - Liella!,34. DAISUKI FULL POWER - Liella!,34. ファンダメンタル - 唐 可可,34. Aspire - Liella!,34. シェキラ☆☆☆ - Liella!,34. Go!! リスタート - Liella!,34. ガラスボールリジェクション - 若菜四季,34. What a Wonderful Dream!! - Liella!,34. 結ぶメロディ - Liella!
,35. 常夏☆サンシャイン - 澁谷かのん、唐 可可、嵐 千砂都、平安名すみれ,35. カメリアの囁き - KALEIDOSCORE,35. 未来の音が聴こえる - Liella!,35. シェキラ☆☆☆ - Liella!,35. ワイルドカード - 鬼塚冬毬,35. Special Color - Liella!,35. Go!! リスタート - Liella!,35. オルタネイト - CatChu!,35. ガラスボールリジェクション - 若菜四季
,36. Just woo!! - 平安名すみれ,36. オレンジのままで - Liella!,36. Including you - Liella!,36. 笑顔のPromise - Liella!,36. OPEN THE G☆TE!!! - Liella!,36. カメリアの囁き - KALEIDOSCORE,36. ディストーション - CatChu!,36. 全力ライオット - CatChu!,36. 不可視なブルー - KALEIDOSCORE
,37. Aspire - Liella!,37. 青空を待ってる - 澁谷かのん,37. Starry Prayer - 平安名すみれ,37. Till Sunrise - Sunny Passion,37. トゥ トゥ トゥ！ - Liella!,37. Jump Into the New World - Liella!,37. Second Sparkle - Liella!,37. Wish Song - Liella!,37. dolce - ウィーン・マルガレーテ
,38. Jump Into the New World - Liella!,38. ユニゾン - Liella!,38. ひとひらだけ - 澁谷かのん、唐 可可、嵐 千砂都、平安名すみれ、葉月 恋,38. Eyeをちょうだい - 鬼塚夏美,38. パステルコラージュ - 鬼塚夏美,38. ノンフィクション!! - Liella!,38. 揺らぐわ - Liella!,38. いつものピースサイン - Liella!,38. だいすきのうた - 澁谷かのん
,39. シェキラ☆☆☆ - Liella!,39. 罪DA・YO・NE - 米女メイ、若菜四季,39. Bubble Rise - 澁谷かのん、ウィーン・マルガレーテ、鬼塚冬毬,39. 勇気のカケラ - 嵐 千砂都,39. Let's be ONE - Liella!,39. ニュートラル - KALEIDOSCORE,39. Bubble Rise - 澁谷かのん、ウィーン・マルガレーテ、鬼塚冬毬,39. 影遊び - CatChu!,39. いつものピースサイン - Liella!
,40. Stella! - 澁谷かのん、嵐 千砂都、平安名すみれ,40. 星屑クルージング - 唐 可可,40. エーデルシュタイン - ウィーン・マルガレーテ,40. 私のSymphony - Liella!,40. キラーキューン☆ - Liella!,40. 結び葉 - 葉月 恋,40. TO BE CONTINUED - Liella!,40. Blooming Dance！Dance！ - 桜小路きな子、米女メイ、若菜四季、鬼塚夏美,40. TO BE CONTINUED - Liella!
,41. Thank you Good morning - 5yncri5e!,41. ミッドナイトラプソディ - 葉月 恋,41. リバーブ - 葉月 恋,41. FANTASTiC - Liella!,41. ほんのちょっぴり - 澁谷かのん,41. WE WILL!! - Liella!,41. What a Wonderful Dream!! - Liella!,41. ワイルドカード - 鬼塚冬毬,41. Jellyfish - 5yncri5e!
,42. ガラスボールリジェクション - 若菜四季,42. リバーブ - 葉月 恋,42. Tiny Stars - 澁谷かのん、唐 可可,42. 1.2.3！ - Liella!,42. Bubble Rise - 澁谷かのん、ウィーン・マルガレーテ、鬼塚冬毬,42. 星屑クルージング - 唐 可可,42. ユートピアマジック - Liella!,42. 私のSymphony - Liella!,42. ニュートラル - KALEIDOSCORE
,43. 笑顔のPromise - Liella!,43. Welcome to 僕らのセカイ - Liella!,43. ノンフィクション!! - Liella!,43. 茜心 - 米女メイ,43. スーパースター!! - Liella!,43. 1.2.3！ - Liella!,43. 全力ライオット - CatChu!,43. ファイティングコール - Liella!,"43. Chance Day, Chance Way！ - Liella!"
,44. カメリアの囁き - KALEIDOSCORE,44. Eyeをちょうだい - 鬼塚夏美,44. Eyeをちょうだい - 鬼塚夏美,44. ベロア - KALEIDOSCORE,44. 私のSymphony - Liella!,44. Eyeをちょうだい - 鬼塚夏美,44. 常夏☆サンシャイン - 澁谷かのん、唐 可可、嵐 千砂都、平安名すみれ,44. MIRACLE NEW STORY - Liella!,44. Butterfly Wing - ウィーン・マルガレーテ
,45. What a Wonderful Dream!! - Liella!,45. Over Over - 澁谷かのん,45. シェキラ☆☆☆ - Liella!,45. ファイティングコール - Liella!,45. Time to go - Liella!,45. 名前呼びあうように - Liella!,45. ファイティングコール - Liella!,45. Second Sparkle - Liella!,45. POP TALKING - Liella!
,46. Wish Song - Liella!,46. 真っ赤。 - Liella!,46. Butterfly Wing - ウィーン・マルガレーテ,46. ユニゾン - Liella!,46. ディストーション - CatChu!,46. 未来の音が聴こえる - Liella!,46. バイバイしちゃえば！？ - Liella!,46. Summer Escape!! - 桜小路きな子、米女メイ、若菜四季、鬼塚夏美,46. Shooting Voice!! - Liella!
,47. Dancing Raspberry - 5yncri5e!,47. ほんのちょっぴり - 澁谷かのん,47. 全力ライオット - CatChu!,47. WE WILL!! - Liella!,47. FANTASTiC - Liella!,47. 心キラララ - 澁谷かのん,47. HAPPY TO DO WA！ - 唐 可可、平安名すみれ、葉月 恋,47. 水しぶきのサイン - Liella!,47. QUESTION99 - Liella!
,48. ビタミンSUMMER！ - Liella!,48. 全力ライオット - CatChu!,48. START!! True dreams - Liella!,48. 想われマリオネット - 澁谷かのん、嵐 千砂都、葉月 恋、鬼塚夏美、ウィーン・マルガレーテ,48. Butterfly Wing - ウィーン・マルガレーテ,48. オレンジのままで - Liella!,48. クレッシェンドゆ・ら - 唐 可可、葉月 恋,48. GOING UP - Liella!,48. 青空を待ってる - 澁谷かのん
,49. Jellyfish - 5yncri5e!,49. Primary - Liella!,49. ほんのちょっぴり - 澁谷かのん,49. Jump Into the New World - Liella!,49. What a Wonderful Dream!! - Liella!,49. DAISUKI FULL POWER - Liella!,49. ビタミンSUMMER！ - Liella!,49. 1.2.3！ - Liella!,49. オルタネイト - CatChu!
,50. 1.2.3！ - Liella!,50. ガラスボールリジェクション - 若菜四季,50. 不可視なブルー - KALEIDOSCORE,50. スター宣言 - Liella!,50. POP TALKING - Liella!,50. Tiny Stars - 澁谷かのん、唐 可可,50. キラーキューン☆ - Liella!,50. だから僕らは鳴らすんだ！ - Liella!,50. Rhythm - 嵐 千砂都
,51. 結ぶメロディ - Liella!,51. Flyer’s High - 嵐 千砂都,51. あふれる言葉 - 桜小路きな子,51. Sky Linker - 米女メイ,51. だいすきのうた - 澁谷かのん,51. QUESTION99 - Liella!,51. Thank you Good morning - 5yncri5e!,51. High！モチベーション - 桜小路きな子、米女メイ、若菜四季、鬼塚夏美、ウィーン・マルガレーテ、鬼塚冬毬,51. 笑顔のPromise - Liella!
,52. ヒロインズ☆ランウェイ - 平安名すみれ,52. 結び葉 - 葉月 恋,52. Oh！レディ・ステディ・ポジティブ - 唐 可可,52. Just woo!! - 平安名すみれ,52. ベロア - KALEIDOSCORE,52. 君・街・空・星 - Liella!,52. スター宣言 - Liella!,52. 未来の音が聴こえる - Liella!,52. Till Sunrise - Sunny Passion
,53. 微熱のワルツ - 葉月 恋,53. 名前呼びあうように - Liella!,53. スーパースター!! - Liella!,53. 罪DA・YO・NE - 米女メイ、若菜四季,53. DAISUKI FULL POWER - Liella!,53. Day1 - Liella!,53. HOT PASSION!! - Sunny Passion,53. 笑顔のPromise - Liella!,53. グソクムシのうた - 平安名すみれ
,54. ノンフィクション!! - Liella!,54. スーパースター!! - Liella!,54. 笑顔のPromise - Liella!,54. Dancing Raspberry - 5yncri5e!,"54. Chance Day, Chance Way！ - Liella!",54. 水しぶきのサイン - Liella!,54. START!! True dreams - Liella!,54. Butterfly Wing - ウィーン・マルガレーテ,54. だから僕らは鳴らすんだ！ - Liella!
,55. Let's be ONE - Liella!,55. アイコトバ！ - Liella!,55. 11th moon - ウィーン・マルガレーテ、鬼塚冬毬,55. キラーキューン☆ - Liella!,55. START!! True dreams - Liella!,55. 茜心 - 米女メイ,55. Welcome to 僕らのセカイ - Liella!,55. ユニゾン - Liella!,55. MIRACLE NEW STORY - Liella!
,56. Tiny Stars - 澁谷かのん、唐 可可,56. バイバイしちゃえば！？ - Liella!,56. Over Over - 澁谷かのん,56. 結び葉 - 葉月 恋,56. グソクムシのうた - 平安名すみれ,56. POP TALKING - Liella!,56. Jump Into the New World - Liella!,56. Jump Into the New World - Liella!,56. 全力ライオット - CatChu!
,57. Sky Linker - 米女メイ,57. Oh！レディ・ステディ・ポジティブ - 唐 可可,57. MIRACLE NEW STORY - Liella!,57. A Little Love - 5yncri5e!,57. Dreaming Energy - Liella!,57. 青春HOPPERS - Liella!,57. Including you - Liella!,57. この街でいまキミと - Liella!,57. ルカ - ウィーン・マルガレーテ
,58. ルカ - ウィーン・マルガレーテ,58. Bubble Rise - 澁谷かのん、ウィーン・マルガレーテ、鬼塚冬毬,58. パレードはいつも - 米女メイ,58. エーデルシュタイン - ウィーン・マルガレーテ,58. ミッドナイトラプソディ - 葉月 恋,58. Oh！レディ・ステディ・ポジティブ - 唐 可可,58. Flyer’s High - 嵐 千砂都,58. 未来は風のように - Liella!,58. Day1 - Liella!
,59. プライム・アドベンチャー - Liella!,59. 心キラララ - 澁谷かのん,59. Sing！Shine！Smile！ - Liella!,59. UNIVERSE!! - Liella!,59. dolce - ウィーン・マルガレーテ,59. 影遊び - CatChu!,59. Within a Dream - Liella!,59. スーパースター!! - Liella!,59. Over Over - 澁谷かのん
,60. Starry Prayer - 平安名すみれ,60. てくてく日和 - 桜小路きな子,60. 追いかける夢の先で - Liella!,60. Wish Song - Liella!,60. 絶対的LOVER - Liella!、澁谷かのん、ウィーン・マルガレーテ、鬼塚冬毬,60. 水色のSunday - 唐 可可,60. POP TALKING - Liella!,60. POP TALKING - Liella!,60. Sky Linker - 米女メイ
,61. FANTASTiC - Liella!,61. 絶対的LOVER - Liella!、澁谷かのん、ウィーン・マルガレーテ、鬼塚冬毬,61. dolce - ウィーン・マルガレーテ,61. 水しぶきのサイン - Liella!,61. Thank you Good morning - 5yncri5e!,61. High！モチベーション - 桜小路きな子、米女メイ、若菜四季、鬼塚夏美、ウィーン・マルガレーテ、鬼塚冬毬,61. 未来予報ハレルヤ！ - Liella!,61. WE WILL!! - Liella!,61. 勇気のカケラ - 嵐 千砂都
,62. Dancing Heart La-Pa-Pa-Pa! - Liella!,62. みてろ！ - 平安名すみれ,62. ファイティングコール - Liella!,62. Including you - Liella!,62. 揺らぐわ - Liella!,62. ミッドナイトラプソディ - 葉月 恋,62. 変わらないすべて - 澁谷かのん、嵐 千砂都,62. Stella! - 澁谷かのん、嵐 千砂都、平安名すみれ,62. ノンフィクション!! - Liella!
,63. Summer Escape!! - 桜小路きな子、米女メイ、若菜四季、鬼塚夏美,63. Hoshizora Monologue - 澁谷かのん、唐 可可、嵐 千砂都、平安名すみれ、葉月 恋,63. 揺らぐわ - Liella!,63. Departure - Liella!,63. ひとひらだけ - 澁谷かのん、唐 可可、嵐 千砂都、平安名すみれ、葉月 恋,63. 笑顔のPromise - Liella!,63. みてろ！ - 平安名すみれ,63. ガラスボールリジェクション - 若菜四季,63. 青春HOPPERS - Liella!
,64. ユートピアマジック - Liella!,64. スター宣言 - Liella!,64. スター宣言 - Liella!,64. クレッシェンドゆ・ら - 唐 可可、葉月 恋,64. Primary - Liella!,64. ガラスボールリジェクション - 若菜四季,64. 笑顔のPromise - Liella!,64. HAPPY TO DO WA！ - 唐 可可、平安名すみれ、葉月 恋,64. 私のSymphony - Liella!
,65. エンドレスサーキット - 唐 可可,65. ワイルドカード - 鬼塚冬毬,65. Hoshizora Monologue - 澁谷かのん、唐 可可、嵐 千砂都、平安名すみれ、葉月 恋,65. 全力ライオット - CatChu!,65. 微熱のワルツ - 葉月 恋,65. Dancing Heart La-Pa-Pa-Pa! - Liella!,65. Free Flight - 澁谷かのん,65. Dream Rainbow - Liella!,65. ディストーション - CatChu!
,66. WE WILL!! - Liella!,66. Jump Into the New World - Liella!,66. 常夏☆サンシャイン - 澁谷かのん、唐 可可、嵐 千砂都、平安名すみれ,66. MIRACLE NEW STORY - Liella!,66. Second Sparkle - Liella!,66. ディストーション - CatChu!,66. 罪DA・YO・NE - 米女メイ、若菜四季,66. 揺らぐわ - Liella!,66. Let's be ONE - Liella!
,67. Dazzling Game - Liella!、澁谷かのん、ウィーン・マルガレーテ、鬼塚冬毬,67. TO BE CONTINUED - Liella!,67. 始まりは君の空 - Liella!,67. 影遊び - CatChu!,67. Special Color - Liella!,67. A Little Love - 5yncri5e!,67. Jellyfish - 5yncri5e!,67. エーデルシュタイン - ウィーン・マルガレーテ,67. DAISUKI FULL POWER - Liella!
,68. Go!! リスタート - Liella!,68. Dancing Raspberry - 5yncri5e!,68. TO BE CONTINUED - Liella!,68. Thank you Good morning - 5yncri5e!,68. ティーンエイジ・ロンリネス - 唐 可可、平安名すみれ、桜小路きな子、鬼塚冬毬,68. 追いかける夢の先で - Liella!,68. WE WILL!! - Liella!,68. 心キラララ - 澁谷かのん,68. 始まりは君の空 - Liella!
,69. Dreamer Coaster - 澁谷かのん,69. UNIVERSE!! - Liella!,69. プライム・アドベンチャー - Liella!,69. パステルコラージュ - 鬼塚夏美,69. 不可視なブルー - KALEIDOSCORE,69. シェキラ☆☆☆ - Liella!,69. 追いかける夢の先で - Liella!,69. Thank you Good morning - 5yncri5e!,69. Summer Escape!! - 桜小路きな子、米女メイ、若菜四季、鬼塚夏美
,70. バイバイしちゃえば！？ - Liella!,70. LiLiA - 若菜四季,70. 青春HOPPERS - Liella!,70. 青春HOPPERS - Liella!,70. 君を想う花になる - 嵐 千砂都,70. 色づいて透明 - Liella!,70. OPEN THE G☆TE!!! - Liella!,70. みてろ！ - 平安名すみれ,70. エンドレスサーキット - 唐 可可
,71. ディストーション - CatChu!,71. GOING UP - Liella!,71. A Little Love - 5yncri5e!,71. 瞬きの先へ - Liella!,71. Over Over - 澁谷かのん,71. バイバイしちゃえば！？ - Liella!,71. Butterfly Wing - ウィーン・マルガレーテ,71. LiLiA - 若菜四季,71. What a Wonderful Dream!! - Liella!
,72. Dears - 葉月 恋,72. Dreaming Energy - Liella!,72. 結び葉 - 葉月 恋,72. 未来予報ハレルヤ！ - Liella!,72. 未来予報ハレルヤ！ - Liella!,72. Bubble Rise - 澁谷かのん、ウィーン・マルガレーテ、鬼塚冬毬,72. エーデルシュタイン - ウィーン・マルガレーテ,72. FANTASTiC - Liella!,72. ユートピアマジック - Liella!
,73. Blooming Dance！Dance！ - 桜小路きな子、米女メイ、若菜四季、鬼塚夏美,73. ファイティングコール - Liella!,73. ディストーション - CatChu!,73. Shooting Voice!! - Liella!,73. Dream Rainbow - Liella!,73. Within a Dream - Liella!,73. 茜心 - 米女メイ,73. Just woo!! - 平安名すみれ,73. Special Color - Liella!
,74. Shooting Voice!! - Liella!,74. エンドレスサーキット - 唐 可可,74. ティーンエイジ・ロンリネス - 唐 可可、平安名すみれ、桜小路きな子、鬼塚冬毬,74. 常夏☆サンシャイン - 澁谷かのん、唐 可可、嵐 千砂都、平安名すみれ,74. Departure - Liella!,74. MIRACLE NEW STORY - Liella!,74. DAISUKI FULL POWER - Liella!,74. ビギナーズRock!! - 桜小路きな子,74. この街でいまキミと - Liella!
